	C	H	O	Si	N	index	Mz	Charge	theoretical_isotope_0	theoretical_isotope_1	theoretical_isotope_2	theoretical_isotope_3	theoretical_isotope_4	theoretical_isotope_5	theoretical_isotope_6	theoretical_isotope_7	theoretical_isotope_8	theoretical_isotope_9	theoretical_isotope_10	theoretical_isotope_11
26	20	61	10	10.0	0.0	cyclosiloxane_10	741.19518947661	1	0.3483986839705181	0.2567299363821355	0.2136566493655332	0.10518975185089074	0.051021372288393076	0.018970725844349272	0.006728765476483205	0.0020031090230327566	0.0005631203052615237	0.00013861115351420278	3.2096549618304264e-05	6.657558313670167e-06
27	20	64	10	10.0	1.0	cyclosiloxane_10+NH4	758.2217385777591	1	0.34701219187123405	0.2570971451289673	0.21383028907558058	0.10562321634915126	0.051237945508094976	0.019098764057316867	0.006777681109607833	0.002021986453512952	0.0005688734934067969	0.00014030703190848223	3.252212696169143e-05	6.759197817236393e-06
28	21	63	11	11.0	0.0	cyclosiloxane_11-CH4	799.1826806953142	1	0.31704766898883474	0.25338573570380496	0.22045952526424634	0.11645541638068563	0.05957164610763955	0.023736579622094543	0.008941812558373556	0.0028597162788686556	0.0008597694431725762	0.00022841248738799926	5.698778143874505e-05	1.2838038929964041e-05
29	22	35	4	0.0	0.0	Diisoheptyl phthalate (DIHpP); Butyl decyl phthalate (BDP)	363.2529855744218	1	0.7798796823153754	0.19129149878404825	0.028856427211648418	0.003246666595201316	0.0002931743659735207	2.217729786350267e-05	1.4390949259762237e-06	8.12700819954762e-08	4.031970218606454e-09	1.7669760948501795e-10	6.857914747773891e-12	2.3576058449791203e-13
30	22	67	11	11.0	0.0	cyclosiloxane_11	815.2139808242702	1	0.3135372325500452	0.2541415143392829	0.22086637630132425	0.11764365285166185	0.06022129060123601	0.02414350851888569	0.009109736615588448	0.0029286146501008876	0.0008824177945999342	0.00023555555898742496	5.892686807070088e-05	1.3337183156016359e-05
31	22	70	11	11.0	1.0	cyclosiloxane_11+NH4	832.2405299254192	1	0.3122894755527805	0.2543800484981934	0.2210009598614278	0.1180562939024313	0.06045090869669664	0.024287652857102975	0.009169810248358681	0.002953307435904092	0.0008905929443373108	0.00023813972567238623	5.9632557365586885e-05	1.3519326102770696e-05
32	23	69	12	12.0	0.0	cyclosiloxane_12-CH4	873.2014720429743	1	0.2853232612371575	0.24905322075319322	0.22572600846470564	0.12809600116666314	0.06888387971136951	0.029378793217100747	0.011711033282189722	0.004012361571988628	0.001284220116050954	0.0003666598592153348	9.800174344614304e-05	2.3839814297893166e-05
33	24	39	4	0.0	0.0	Di(2-ethylhexyl) phthalate (DEHP); Di(n-octyl) phthalate (DNOP); Diisooctyl phthalate (DIOP)	391.2842857033778	1	0.7630540281114757	0.20414566235054415	0.03249741340285198	0.0038291105527862457	0.0003611921131210605	2.8493467665866685e-05	1.9280891250770364e-06	1.1366468254230914e-07	5.897275324817283e-09	2.7100654550784867e-10	1.1070365942711009e-11	4.0250370988569196e-13
34	24	73	12	12.0	0.0	cyclosiloxane_12	889.2327721719303	1	0.282164085911013	0.2495006162139543	0.22602572057972586	0.1292144853497823	0.06956119971258001	0.029827911463194356	0.011911720839418124	0.004099632245819173	0.0013151303064908313	0.00037704583119702414	0.00010104176923883621	2.4678546405556045e-05
35	24	76	12	12.0	1.0	cyclosiloxane_12+NH4	906.2593212730793	1	0.2810411819110358	0.24963255000657014	0.2261212300532074	0.12960164067881935	0.06979978253984678	0.029986682798687686	0.011983316763948633	0.004130842383966949	0.001326255354679324	0.0003807934610804176	0.00010214447418801582	2.4983631110904565e-05
36	26	43	4	0.0	0.0	n-Octyl n-decyl phthalate (ODP); Diisononyl phthalate (DINP)	419.3155858323338	1	0.7465913820046055	0.21635613715730517	0.0363376131986146	0.004479887852856209	0.00044088447111893125	3.62280464540342e-05	2.5526722104146382e-06	1.5680807654714823e-07	8.48971640172943e-09	4.0800846387468587e-10	1.748245123710126e-11	6.693638769028635e-13
37	28	47	4	0.0	0.0	Diisodecyl phthalate ( DIDP)	447.3468859612898	1	0.730483912211411	0.22794471477539383	0.04035875863057641	0.005201780781519132	0.0005335125499794156	4.561326527592297e-05	3.342279534451891e-06	2.1360020810957178e-07	1.204482839431606e-08	6.039780082344768e-10	2.706860049578514e-11	1.0875089024161108e-12
38	30	51	4	0.0	0.0	Diundecyl phthalate ( DUP); Diisoundecyl phthalate( DIUP)	475.3781860902458	1	0.7147239559167544	0.23893254609929362	0.04454344936124628	0.005997116576025327	0.0006403685311550347	5.690415430623928e-05	4.330927208087596e-06	2.8754874066009954e-07	1.6859933403271885e-08	8.803346589364493e-10	4.116648323018267e-11	1.7302569531632307e-12
39	34	59	4	0.0	0.0	Ditridecyl phthalate (DTDP); Diisotridecyl phthalate (DITP)	531.4407863481578	1	0.6842167556096213	0.2591874746117865	0.05333800872164889	0.00781532091300906	0.0009020263128845371	8.633759623929956e-05	7.066713608888609e-06	5.045281305697719e-07	3.184494628808425e-08	1.7937330841774038e-09	9.076379949692678e-11	4.1448086746881715e-12
