	Mz	Description
68	185.11	"GE, [M+Na]+, C8H18O3, glycol ether"
69	186.22	"TBA, [M+H]+, C12H27N, Tributylamine, solvent"
70	189.05	"PEG, [A3B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
71	190.05	"4-HCCA, [M+H]+, C10H7NO3, matrix compound"
72	193.14	"PPG, [A3B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
73	195.07	"Dimethyl phthalate, [M+H]+, C10H10O4, Phthalate esters, plasticizer"
74	195.12	"PEG, [A4B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
75	203.10	"BHA, [M+Na]+, C11H16O2, Butylated hydroxyanisole, antioxidant additives"
76	205.13	"Methanol/Water, [A4B3+Na]+, [MeOH]n[H2O]m, ESI solvents"
77	212.03	"4-HCCA, [M+Na]+, C10H7NO3, matrix compound, sodiated"
78	214.09	"n-BBS, [M+H]+, C10H15NO2S, n-butyl benzenesulfonamide, plasticizer"
79	215.13	"PPG, [A3B+Na]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
80	217.10	"PEG, [A4B+Na]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
81	221.19	"BTH, [M+H]+, C15H24O, Butylated hydroxytoluene, Antioxidant"
82	225.20	"DCU, [M+H]+, C13H24N2O, N,N'-Dicyclohexylurea"
83	228.01	"4-HCCA, [M+K]+, C10H7NO3, matrix compound, potassiated"
84	231.10	"PPG, [A3B+K]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
85	231.12	"n-BBS, [M+NH4]+, C10H15NO2S, n-butyl benzenesulfonamide, plasticizer"
86	233.08	"PEG, [A4B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
87	236.07	"n-BBS, [M+Na]+, C10H15NO2S, n-butyl benzenesulfonamide, plasticizer"
88	239.15	"PEG, [A5B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
89	239.22	"TEA.HCl, [(M.H35Cl)2-Cl]+, C6H15N, Triethylamine-hydrochloride, buffer"
90	241.22	"TEA.HCl, [(M.H37Cl)2-Cl]+, C6H15N, Triethylamine-hydrochloride, buffer"
91	242.28	"TBA, M+, C16H36N, Tetrabutylammonium, buffer"
92	243.12	"Trityl cation, M+, C19H15, Trityl cation, [Ph3C]+"
93	243.17	"BTH, [M+Na]+, C15H24O, Butylated hytroxytoluene, Antioxidant additives"
94	251.19	"PPG, [A4B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
95	251.20	"Triton, [AB1+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
96	257.03	"DMSO, [M3+Na]+, C2H6OS, Dimethylsulfoxide, solvent"
97	261.13	"PEG, [A5B+Na]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
98	265.22	"Triton, [AB1+H]+, [C15H24O][C2H4O]n, 101 Detergents"
99	267.17	"TBP, [M+H]+, C12H27O4P, Tributylphosphate"
100	273.13	"MMT, M+, C20H17O, Monomethoxytrityl cation"
101	273.17	"PPG, [A4B+Na]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
102	273.18	"Triton, [AB1+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
103	277.10	"PEG, [A5B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
104	279.09	"TPO, [M+H]+, C18H15OP, Triphenylphosphine oxide"
105	279.16	"Dibutylphthalate, [M+H]+, C16H22O4, Plasticiser, phtalate ester"
106	279.23	"Triton, reduced, [AB1+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
107	282.28	"Oleamide, [M+H]+, C18H35NO, Slip agent in polyethylene films"
108	283.18	"PEG, [A6B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
109	284.29	"Stearamide, [M+H]+, C18H37NO, Slip agent in polyethylene films"
110	287.20	"Triton, [AB1+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
111	288.25	"n,n-DDA, [M+H]+, C16H33NO3, n,n-bis(2-hydroxyethyl) dodecanamide, anti-static agent"
112	289.14	"PPG, [A4B+K]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
113	293.25	"Triton, reduced, [AB1+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
114	295.23	"Triton, [AB2+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
115	301.14	"Dibutylphthalate, [M+Na]+, C16H22O4, Dibutylphthalate, plasticizer"
116	304.26	"Oleamide, [M+Na]+, C18H35NO, Slip agent in polyethylene films"
117	305.16	"PEG, [A6B+Na]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
118	306.28	"Stearamide, [M+Na]+, C18H37NO, Slip agent in polyethylene films"
119	309.23	"PPG, [A5B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
120	309.24	"Triton, [AB2+H]+, [C15H24O][C2H4O]n, 101 Detergents"
121	315.25	"DBS, [M+H]+, C18H34O4, Dibutyl sebacate, plasticizer"
122	317.11	"Dibutylphthalate, [M+K]+, C16H22O4, Dibutylphthalate, plasticizer"
123	317.21	"Triton, [AB2+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
124	321.13	"PEG, [A6B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
125	323.26	"Triton, reduced, [AB2+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
126	325.26	"DGBE, [M2+H]+, C8H18O3, Diethylene glycol monobutyl ether, cpd. In scintillation cocktail"
127	327.08	"TPP, [M+H]+, C18H15O4P, Triphenyl phosphate, flame retardant in plastics"
128	327.20	"PEG, [A7B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
129	331.21	"PPG, [A5B+Na]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
130	331.22	"Triton, [AB2+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
131	337.12	"Tributyl tin formate, [M+H]+;  (120Sn), C13H28O2Sn, Tributyl tin formate, catalyst"
