	Mz	Description
272	701.39	"PEG, [A15B+Na]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
273	705.48	"Triton, [AB11+H]+, [C15H24O][C2H4O]n, 101 Detergents"
274	713.44	"Triton, [AB11+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
275	715.52	"PPG, [A12B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
276	717.37	"PEG, [A15B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
277	719.49	"Triton, reduced, [AB11+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
278	723.44	"PEG, [A16B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
279	725.16	"Polysiloxane, [M+H-CH4]+, [C2H6SiO]10, Polysiloxane, (neutral methane loss from m/z 741)"
280	727.46	"Triton, [AB11+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
281	733.51	"Triton, reduced, [AB11+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
282	735.49	"Triton, [AB12+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
283	737.50	"PPG, [A12B+Na]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
284	741.20	"Polysiloxane, [M+H]+, [C2H6SiO]10, Polysiloxane, followed by m/z 758"
285	745.42	"PEG, [A16B+Na]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
286	749.50	"Triton, [AB12+H]+, [C15H24O][C2H4O]n, 101 Detergents"
287	753.48	"PPG, [A12B+K]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
288	757.47	"Triton, [AB12+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
289	758.22	"Polysiloxane, [M+NH4]+, [C2H6SiO]10, Polysiloxane (see m/z 741)"
290	761.39	"PEG, [A16B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
291	763.52	"Triton, reduced, [AB12+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
292	767.46	"PEG, [A17B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
293	771.49	"Triton, [AB12+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
294	773.56	"PPG, [A13B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
295	777.53	"Triton, reduced, [AB12+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
296	779.52	"Triton, [AB13+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
297	789.45	"PEG, [A17B+Na]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
298	793.53	"Triton, [AB13+H]+, [C15H24O][C2H4O]n, 101 Detergents"
299	795.54	"PPG, [A13B+Na]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
300	798.59	"Diisooctyl phthalate, [M2+NH4]+, C24H38O4, Diisooctyl phthalate, plasticiser"
301	799.18	"Polysiloxane, [M+H-CH4]+, [C2H6SiO]11, Polysiloxane, (neutral methane loss )"
302	801.50	"Triton, [AB13+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
303	803.54	"Diisooctyl phthalate, [M2+Na]+, C24H38O4, Diisooctyl phthalate, plasticiser"
304	805.42	"PEG, [A17B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
305	807.54	"Triton, reduced, [AB13+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
306	809.49	"Tween, [AB10+Na]+, [C18H34O6][C2H4O]n, Tween 20"
307	811.49	"PEG, [A18B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
308	811.52	"PPG, [A13B+K]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
309	815.21	"Polysiloxane, [M+H]+, [C2H6SiO]11, Polysiloxane"
310	815.51	"Triton, [AB13+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
311	819.52	"Diisooctyl phthalate, [M2+K]+, C24H38O4, Diisooctyl phthalate, plasticiser"
312	821.56	"Triton, reduced, [AB13+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
313	823.54	"Triton, [AB14+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
314	831.60	"PPG, [A14B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
315	832.24	"Polysiloxane, [M+NH4]+, [C2H6SiO]11, Polysiloxane "
316	833.47	"PEG, [A18B+Na]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
317	837.56	"Triton, [AB14+H]+, [C15H24O][C2H4O]n, 101 Detergents"
318	839.10	"4-HCCA, [M4-2H+K+2Na]+, C10H7NO3, matrix cluster"
319	845.11	"4-HCCA, [M4-3H+4Na]+, C10H7NO3, matrix cluster"
320	845.52	"Triton, [AB14+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
321	849.45	"PEG, [A18B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
322	851.57	"Triton, reduced, [AB14+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
323	853.51	"Tween, [AB11+Na]+, [C18H34O6][C2H4O]n, Tween 20"
324	853.59	"PPG, [A14B+Na]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
325	855.07	"4-HCCA, [M4-2H+Na+2K]+, C10H7NO3, matrix cluster"
326	855.52	"PEG, [A19B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
327	859.54	"Triton, [AB14+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
328	861.08	"4-HCCA, [M4-3H+3Na+K]+, C10H7NO3, matrix cluster"
329	865.55	"Tween, [AB10+Na]+, [C22H42O6][C2H4O]n, Tween 40"
330	865.59	"Triton, reduced, [AB14+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
331	867.09	"4-HCCA, [M4-4H+5Na]+, C10H7NO3, matrix cluster"
332	867.57	"Triton, [AB15+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
333	869.56	"PPG, [A14B+K]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
334	871.05	"4-HCCA, [M4-2H+3K]+, C10H7NO3, matrix cluster"
335	873.20	"Polysiloxane, [M+H-CH4]+, [C2H6SiO]12, Polysiloxane, (neutral methane loss )"
336	877.50	"PEG, [A19B+Na]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
337	881.58	"Triton, [AB15+H]+, [C15H24O][C2H4O]n, 101 Detergents"
338	889.23	"Polysiloxane, [M+H]+, [C2H6SiO]12, Polysiloxane"
339	889.55	"Triton, [AB15+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
340	889.65	"PPG, [A15B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
341	891.57	"Tween, [AB10+Na]+, [C24H44O6][C2H4O]n, Tween 80"
342	893.47	"PEG, [A19B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
343	893.58	"Tween, [AB10+Na]+, [C24H46O6][C2H4O]n, Tween 60"
344	895.60	"Triton, reduced, [AB15+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
345	897.54	"Tween, [AB12+Na]+, [C18H34O6][C2H4O]n, Tween 20"
346	899.54	"PEG, [A20B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
347	903.57	"Triton, [AB15+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
348	905.68	"nylon , [M+H]+, C48H88N8O8, Cyclic oligomer of polyamide 66, (adipic acid/hexylmethylene diamine condensation) "
349	906.26	"Polysiloxane, [M+NH4]+, [C2H6SiO]12, Polysiloxane "
350	909.58	"Tween, [AB11+Na]+, [C22H42O6][C2H4O]n, Tween 40"
351	909.61	"Triton, reduced, [AB15+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
352	911.59	"Triton, [AB16+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
353	911.63	"PPG, [A15B+Na]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
354	921.52	"PEG, [A20B+Na]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
355	925.61	"Triton, [AB16+H]+, [C15H24O][C2H4O]n, 101 Detergents"
356	927.60	"PPG, [A15B+K]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
357	933.58	"Triton, [AB16+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
358	935.59	"Tween, [AB11+Na]+, [C24H44O6][C2H4O]n, Tween 80"
359	937.50	"PEG, [A20B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
360	937.61	"Tween, [AB11+Na]+, [C24H46O6][C2H4O]n, Tween 60"
361	939.62	"Triton, reduced, [AB16+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
362	941.57	"Tween, [AB13+Na]+, [C18H34O6][C2H4O]n, Tween 20"
363	947.22	"Polysiloxane, [M+H-CH4]+, [C2H6SiO]13, Polysiloxane, (neutral methane loss )"
364	947.59	"Triton, [AB16+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
365	947.69	"PPG, [A16B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
366	953.60	"Tween, [AB12+Na]+, [C22H42O6][C2H4O]n, Tween 40"
367	953.64	"Triton, reduced, [AB16+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
368	955.62	"Triton, [AB17+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
369	963.25	"Polysiloxane, [M+H]+, [C2H6SiO]13, Polysiloxane"
370	969.64	"Triton, [AB17+H]+, [C15H24O][C2H4O]n, 101 Detergents"
371	969.67	"PPG, [A16B+Na]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
372	977.60	"Triton, [AB17+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
373	979.62	"Tween, [AB12+Na]+, [C24H44O6][C2H4O]n, Tween 80"
374	980.28	"Polysiloxane, [M+NH4]+, [C2H6SiO]13, Polysiloxane "
375	981.63	"Tween, [AB12+Na]+, [C24H46O6][C2H4O]n, Tween 60"
376	983.65	"Triton, reduced, [AB17+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
377	985.59	"Tween, [AB14+Na]+, [C18H34O6][C2H4O]n, Tween 20"
378	985.64	"PPG, [A16B+K]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
379	991.62	"Triton, [AB17+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
380	994.16	"4-HCCA, [M5-H2O-2H+3Na]+, C10H7NO3, matrix cluster"
381	997.63	"Tween, [AB13+Na]+, [C22H42O6][C2H4O]n, Tween 40"
382	997.66	"Triton, reduced, [AB17+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
383	999.65	"Triton, [AB18+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
384	1005.73	"PPG, [A17B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
385	1013.66	"Triton, [AB18+H]+, [C15H24O][C2H4O]n, 101 Detergents"
386	1021.24	"Polysiloxane, [M+H-CH4]+, [C2H6SiO]14, Polysiloxane, (neutral methane loss )"
387	1021.63	"Triton, [AB18+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
388	1023.64	"Tween, [AB13+Na]+, [C24H44O6][C2H4O]n, Tween 80"
389	1025.66	"Tween, [AB13+Na]+, [C24H46O6][C2H4O]n, Tween 60"
390	1027.68	"Triton, reduced, [AB18+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
391	1027.71	"PPG, [A17B+Na]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
392	1029.62	"Tween, [AB15+Na]+, [C18H34O6][C2H4O]n, Tween 20"
393	1035.64	"Triton, [AB18+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
394	1036.08	"4-HCCA, [M5-2H2O-4H+4Na+K]+, C10H7NO3, matrix cluster"
395	1037.27	"Polysiloxane, [M+H]+, [C2H6SiO]14, Polysiloxane"
396	1041.65	"Tween, [AB14+Na]+, [C22H42O6][C2H4O]n, Tween 40"
397	1041.69	"Triton, reduced, [AB18+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
398	1043.67	"Triton, [AB19+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
399	1043.69	"PPG, [A17B+K]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
400	1044.11	"4-HCCA, [M5-2H+Na+2K]+, C10H7NO3, matrix cluster"
401	1054.09	"4-HCCA, [M5-H2O-4H+4Na+K]+, C10H7NO3, matrix cluster"
402	1054.30	"Polysiloxane, [M+NH4]+, [C2H6SiO]14, Polysiloxane "
403	1057.69	"Triton, [AB19+H]+, [C15H24O][C2H4O]n, 101 Detergents"
404	1060.09	"4-HCCA, [M5-2H+3K]+, C10H7NO3, matrix cluster, pentamer, triply potassiated"
405	1063.77	"PPG, [A18B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
406	1065.65	"Triton, [AB19+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
407	1066.10	"4-HCCA, [M5-3H+2K+2Na]+, C10H7NO3, matrix cluster, pentamer, potassiated, sodiated"
408	1067.67	"Tween, [AB14+Na]+, [C24H44O6][C2H4O]n, Tween 80"
409	1069.69	"Tween, [AB14+Na]+, [C24H46O6][C2H4O]n, Tween 60"
410	1071.70	"Triton, reduced, [AB19+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
411	1073.64	"Tween, [AB16+Na]+, [C18H34O6][C2H4O]n, Tween 20"
412	1079.67	"Triton, [AB19+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
413	1085.68	"Tween, [AB15+Na]+, [C22H42O6][C2H4O]n, Tween 40"
414	1085.72	"Triton, reduced, [AB19+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
415	1085.75	"PPG, [A18B+Na]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
416	1087.70	"Triton, [AB20+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
417	1095.26	"Polysiloxane, [M+H-CH4]+, [C2H6SiO]15, Polysiloxane, (neutral methane loss )"
418	1101.71	"Triton, [AB20+H]+, [C15H24O][C2H4O]n, 101 Detergents"
419	1101.73	"PPG, [A18B+K]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
420	1109.68	"Triton, [AB20+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
421	1111.29	"Polysiloxane, [M+H]+, [C2H6SiO]15, Polysiloxane"
422	1111.70	"Tween, [AB15+Na]+, [C24H44O6][C2H4O]n, Tween 80"
423	1113.71	"Tween, [AB15+Na]+, [C24H46O6][C2H4O]n, Tween 60"
424	1115.73	"Triton, reduced, [AB20+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
425	1117.67	"Tween, [AB17+Na]+, [C18H34O6][C2H4O]n, Tween 20"
426	1121.81	"PPG, [A19B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
427	1123.70	"Triton, [AB20+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
428	1128.32	"Polysiloxane, [M+NH4]+, [C2H6SiO]15, Polysiloxane "
429	1129.71	"Tween, [AB16+Na]+, [C22H42O6][C2H4O]n, Tween 40"
430	1129.74	"Triton, reduced, [AB20+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
431	1143.80	"PPG, [A19B+Na]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
432	1155.72	"Tween, [AB16+Na]+, [C24H44O6][C2H4O]n, Tween 80"
433	1157.74	"Tween, [AB16+Na]+, [C24H46O6][C2H4O]n, Tween 60"
434	1159.77	"PPG, [A19B+K]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
435	1161.70	"Tween, [AB18+Na]+, [C18H34O6][C2H4O]n, Tween 20"
436	1169.28	"Polysiloxane, [M+H-CH4]+, [C2H6SiO]16, Polysiloxane, (neutral methane loss )"
437	1173.73	"Tween, [AB17+Na]+, [C22H42O6][C2H4O]n, Tween 40"
438	1179.86	"PPG, [A20B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
439	1185.31	"Polysiloxane, [M+H]+, [C2H6SiO]16, Polysiloxane"
440	1199.75	"Tween, [AB17+Na]+, [C24H44O6][C2H4O]n, Tween 80"
441	1201.76	"Tween, [AB17+Na]+, [C24H46O6][C2H4O]n, Tween 60"
442	1201.84	"PPG, [A20B+Na]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
443	1202.33	"Polysiloxane, [M+NH4]+, [C2H6SiO]16, Polysiloxane "
444	1205.72	"Tween, [AB19+Na]+, [C18H34O6][C2H4O]n, Tween 20"
445	1217.76	"Tween, [AB18+Na]+, [C22H42O6][C2H4O]n, Tween 40"
446	1217.81	"PPG, [A20B+K]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
447	1225.13	"4-HCCA, [M6-2H2O-4H+4Na+K]+, C10H7NO3, matrix cluster, hexamer, potassiated, sodiated"
448	1229.80	"CHAPS, [M2+H]+, C32H58N2O7S, 3-[(3-Cholamidopropyl)dimethylammonio]-1-propanesulfonate"
449	1243.30	"Polysiloxane, [M+H-CH4]+, [C2H6SiO]17, Polysiloxane, (neutral methane loss )"
450	1243.77	"Tween, [AB18+Na]+, [C24H44O6][C2H4O]n, Tween 80"
451	1245.79	"Tween, [AB18+Na]+, [C24H46O6][C2H4O]n, Tween 60"
452	1249.75	"Tween, [AB20+Na]+, [C18H34O6][C2H4O]n, Tween 20"
453	1259.33	"Polysiloxane, [M+H]+, [C2H6SiO]17, Polysiloxane"
454	1261.79	"Tween, [AB19+Na]+, [C22H42O6][C2H4O]n, Tween 40"
455	1276.35	"Polysiloxane, [M+NH4]+, [C2H6SiO]17, Polysiloxane "
456	1287.80	"Tween, [AB19+Na]+, [C24H44O6][C2H4O]n, Tween 80"
457	1289.82	"Tween, [AB19+Na]+, [C24H46O6][C2H4O]n, Tween 60"
458	1293.78	"Tween, [AB21+Na]+, [C18H34O6][C2H4O]n, Tween 20"
459	1305.81	"Tween, [AB20+Na]+, [C22H42O6][C2H4O]n, Tween 40"
460	1317.31	"Polysiloxane, [M+H-CH4]+, [C2H6SiO]18, Polysiloxane, (neutral methane loss )"
461	1331.83	"Tween, [AB20+Na]+, [C24H44O6][C2H4O]n, Tween 80"
462	1333.35	"Polysiloxane, [M+H]+, [C2H6SiO]18, Polysiloxane"
463	1333.84	"Tween, [AB20+Na]+, [C24H46O6][C2H4O]n, Tween 60"
464	1337.80	"Tween, [AB22+Na]+, [C18H34O6][C2H4O]n, Tween 20"
465	1349.84	"Tween, [AB21+Na]+, [C22H42O6][C2H4O]n, Tween 40"
466	1350.37	"Polysiloxane, [M+NH4]+, [C2H6SiO]18, Polysiloxane "
467	1375.85	"Tween, [AB21+Na]+, [C24H44O6][C2H4O]n, Tween 80"
468	1377.87	"Tween, [AB21+Na]+, [C24H46O6][C2H4O]n, Tween 60"
469	1381.83	"Tween, [AB23+Na]+, [C18H34O6][C2H4O]n, Tween 20"
470	1391.33	"Polysiloxane, [M+H-CH4]+, [C2H6SiO]19, Polysiloxane, (neutral methane loss )"
471	1393.86	"Tween, [AB22+Na]+, [C22H42O6][C2H4O]n, Tween 40"
472	1407.36	"Polysiloxane, [M+H]+, [C2H6SiO]19, Polysiloxane"
473	1419.88	"Tween, [AB22+Na]+, [C24H44O6][C2H4O]n, Tween 80"
474	1421.90	"Tween, [AB22+Na]+, [C24H46O6][C2H4O]n, Tween 60"
475	1424.39	"Polysiloxane, [M+NH4]+, [C2H6SiO]19, Polysiloxane "
476	1425.85	"Tween, [AB24+Na]+, [C18H34O6][C2H4O]n, Tween 20"
477	1437.89	"Tween, [AB23+Na]+, [C22H42O6][C2H4O]n, Tween 40"
478	1463.91	"Tween, [AB23+Na]+, [C24H44O6][C2H4O]n, Tween 80"
479	1465.35	"Polysiloxane, [M+H-CH4]+, [C2H6SiO]20, Polysiloxane, (neutral methane loss )"
480	1465.92	"Tween, [AB23+Na]+, [C24H46O6][C2H4O]n, Tween 60"
481	1469.88	"Tween, [AB25+Na]+, [C18H34O6][C2H4O]n, Tween 20"
482	1481.38	"Polysiloxane, [M+H]+, [C2H6SiO]20, Polysiloxane"
483	1481.92	"Tween, [AB24+Na]+, [C22H42O6][C2H4O]n, Tween 40"
484	1498.41	"Polysiloxane, [M+NH4]+, [C2H6SiO]20, Polysiloxane "
485	1507.93	"Tween, [AB24+Na]+, [C24H44O6][C2H4O]n, Tween 80"
486	1509.95	"Tween, [AB24+Na]+, [C24H46O6][C2H4O]n, Tween 60"
487	1513.91	"Tween, [AB26+Na]+, [C18H34O6][C2H4O]n, Tween 20"
488	1525.94	"Tween, [AB25+Na]+, [C22H42O6][C2H4O]n, Tween 40"
489	1551.96	"Tween, [AB25+Na]+, [C24H44O6][C2H4O]n, Tween 80"
490	1553.97	"Tween, [AB25+Na]+, [C24H46O6][C2H4O]n, Tween 60"
491	1557.93	"Tween, [AB27+Na]+, [C18H34O6][C2H4O]n, Tween 20"
492	1569.97	"Tween, [AB26+Na]+, [C22H42O6][C2H4O]n, Tween 40"
493	1595.98	"Tween, [AB26+Na]+, [C24H44O6][C2H4O]n, Tween 80"
494	1598.00	"Tween, [AB26+Na]+, [C24H46O6][C2H4O]n, Tween 60"
495	1601.96	"Tween, [AB28+Na]+, [C18H34O6][C2H4O]n, Tween 20"
496	1614.00	"Tween, [AB27+Na]+, [C22H42O6][C2H4O]n, Tween 40"
497	1640.01	"Tween, [AB27+Na]+, [C24H44O6][C2H4O]n, Tween 80"
498	1642.03	"Tween, [AB27+Na]+, [C24H46O6][C2H4O]n, Tween 60"
499	1645.99	"Tween, [AB29+Na]+, [C18H34O6][C2H4O]n, Tween 20"
500	1658.02	"Tween, [AB28+Na]+, [C22H42O6][C2H4O]n, Tween 40"
501	1684.04	"Tween, [AB28+Na]+, [C24H44O6][C2H4O]n, Tween 80"
502	1686.05	"Tween, [AB28+Na]+, [C24H46O6][C2H4O]n, Tween 60"
503	1690.01	"Tween, [AB30+Na]+, [C18H34O6][C2H4O]n, Tween 20"
504	1702.05	"Tween, [AB29+Na]+, [C22H42O6][C2H4O]n, Tween 40"
505	1728.06	"Tween, [AB29+Na]+, [C24H44O6][C2H4O]n, Tween 80"
506	1730.08	"Tween, [AB29+Na]+, [C24H46O6][C2H4O]n, Tween 60"
507	1734.04	"Tween, [AB31+Na]+, [C18H34O6][C2H4O]n, Tween 20"
508	1746.07	"Tween, [AB30+Na]+, [C22H42O6][C2H4O]n, Tween 40"
509	1772.09	"Tween, [AB30+Na]+, [C24H44O6][C2H4O]n, Tween 80"
510	1774.11	"Tween, [AB30+Na]+, [C24H46O6][C2H4O]n, Tween 60"
511	1778.06	"Tween, [AB32+Na]+, [C18H34O6][C2H4O]n, Tween 20"
512	1790.10	"Tween, [AB31+Na]+, [C22H42O6][C2H4O]n, Tween 40"
513	1816.12	"Tween, [AB31+Na]+, [C24H44O6][C2H4O]n, Tween 80"
514	1818.13	"Tween, [AB31+Na]+, [C24H46O6][C2H4O]n, Tween 60"
515	1834.13	"Tween, [AB32+Na]+, [C22H42O6][C2H4O]n, Tween 40"
516	1860.14	"Tween, [AB32+Na]+, [C24H44O6][C2H4O]n, Tween 80"
517	1862.16	"Tween, [AB32+Na]+, [C24H46O6][C2H4O]n, Tween 60"
